unit_order,unit_id,unit_title,P3465,P3473,BWII672,R2536,I344,P3471,P400,P3475,CCCP578,P5881,A4095,L8751,B0022,P3466
58,f1b398ae-34dd-4c4c-9293-fc19f92d0e80,Vizier Shows Dress King Notices,,فأشار إيلاذ نحو الثياب فحانت من المَلك التفاتة فرأى إيماء إيلاذ نحو الثياب,فأشار إيلاد أن تأخذ الثياب فحانت من المَلك التفاتة فرأى إيلاد يشير نحو الثياب,فأراها بلاذ الثياب وأشار عليها تأخذها فحانت من المَلك التفاتة فرأى إيماء بلاذ إلى هليث,فأراها بلاد الثياب وأشار عليها بأخذها فحانت من المَلك التفاتة فرأى إيماء بلاد إلى هلبت فلمّا رأت هلبت أنّ المَلك قد أبصر إيماء بلاد إليها,فغمزها إيلاد بالكسوة بمؤخّر عينه فرفع الملك رأسه فرآه فلمّا ظنّت هليب وهي إبراخت أن الملك قد أبصر غمزها بعينيه,فَأَراهَا بَلار الثياب وَأَشار إليْهَا بِأَخْذِهَا فَحَانَتْ مِن الملك التفاتَة فَرَأى إيماء بلار إلى إيلاذ فَلَمَّا رَأَتْ إيلاذ أنّ الملك قد أبصر إيماء بلار إلى إيلاد [إليها],فأراها بعينه فأبصر الملك إيماءه,فغمزها على الكسوة ورفع الملك رأسه فلمّا رأته ظنّت أنه فطن لها,فغمزها بلاد على الكسوة ورفع المَلك رأسه إليها فظنّت أنّه قد فطن بها,فأراها إيلاذ الثياب وأشار عليها بأخذها فأخذتها وكانت شارته إليها أن غمزها بعينه وحانت من المَلك التفاتة فرأى إيلاذ وقد غمز إيراخت فلمّا رأت إيراخت أنّ المَلك قد أبصر إيلاذ وإيماءه إليها,فأراهَا إيلاد الثّياب وأشار عليها بأخذها فحانت من الملك لحظه فرأى إيلاد فلمّا رأت إبراحت أنّ الملك قد رأى إيلاد أبصر إيمائه إليها بعينه,فأشار إليها بلاذ أن خذي الثياب فلحق الملك بهما وبرمزهما,فأراها بلاذ الثياب وأشار عليها بأخذها وحانت من الملك التفاتة فنظر أيّما بلاذ حين غمزها بعينه
59,9ad64ae7-ee4a-42da-8104-5709c42dacad,Queen Chooses Crown,فأخذت منها إكليلًا,وحين فهمت إبرخت ذلك تركت الثياب وأخذت الإكليل كيلا يظنّ بها المَلك ظنّ السوء,فحين فهمت إبرخت أنّ المَلك لحظ تركت الثياب وأخذت الإكليل لكيلا يظنّ المَلك بها ظنًّا سوءًا,فلمّا رأت هليث أنّ المَلك قد أبصر إيماء بلاذ إليها †لرينة,تركت الذي أشار لها عليه بلاد وأخذت الإكليل لئلّا يرى المَلك إيماءه لريبة,رفضت الذي أراها إيلاد وأخذت الاكليل مخافة أن يسيء الظنّ بها,تَرَكَتْ الذي أَشَار عَلَيْهَا بَلار وَأَخَذَتْ الإكليل لَئِلّا يَرَى المَلِك أنّ إيمَاءَه إلَيْهَا لِريبة,,فقبضت على الإكليل ورفضت الكسوة مخافة أن يسيء الملك بها الظنّ لإشارة بلاد إليها,فأخذت الإكليل وتركت الكسوة مخافة منها أن يسيء المَلك الظنّ بها لأجل إشارة بلاد [[لها]] إليها,تركت الثياب وأخذت الإكليل مخافة أن يظنّ المَلك بهما سوءًا وعاش,تركت الذي أراهَا ايلاد وأخذت الإكليل,فأدركت ما لحقت به الملك وخافت على نفسها وعلى بلاذ من القتل فاختارت التاج لضدّ ما قصده لها بلاذ,فرأت ابراخت أنّ الملك قد ابصر أيّما بلاذ إليها بعينه وفطن لذلك فخافت على نفسها وعلى بلاذ من القتل فتركت الثياب التي أراها بلاذ وأخذت الإكليل لئلّا يظنّ الملك أنّه أراها شيئًا
60,3d9ebcf8-3315-4d4c-bb2e-b7a465b63cbe,Vizier Pretends To Be Cross Eyed,,وأقام إيلاذ بعد ذلك أربعين سنة إذا دخل على المَلك كسر بعينه نحو الإيماء المتقدّم منه حتّى ظنّ المَلك إنّ ذلك عادة منه وإنّه لم يكن اعتمد فيما تقدّم ذلك,وأقام إيلاد بعد ذلك أربعين سنة كلّما دخل على المَلك يكسر عينه حتّى يظنّ المَلك أنّ ذلك عادة فيه,ومكث بلاذ أربعين سنة كلّما دخل على المَلك كسر إحدى عينيه وادّعى أنّه أحول في ذلك اليوم لئلّا يظنّ المَلك أنّه بينه وبين هليث شيئًا,ومكث بلاد أربعين سنة كلّما دخل على المَلك كسر عينه وادّعى أنّه أحول في ذلك اليوم لئلّا يتهمه المَلك بشيء,فمكث بعد ذلك إيلاد أربعين سنة مستحى من الملك لا يدخل عليه إلّا كسر عينه وأوهم أنّه أحول في ذلك اليوم شفقًا من أن يتّهمه ومعرفة بأنّه لو اطّلع على أنّ بينهما شيئًا قتلها,وَمَكَث بَلار أربَعِين سَنة كُلّمَا دَخَل عَلَى الملك كَسَر عَيْنَه وَادَّعَى أنَّه أَحْوَل في ذلك اليوم لَئِلّا يَرَى أنّ بَيْنَها وَبَيْنَه شَيْئًا,فعاش بلاذ أربعين سنة كلّما دخل على الملك كسر عينه لئلاّ يظنّ الملك أنه أراها بعينيه شيئًا,ولبث بلاد بعد ذلك أربعين يومًا لا يدخل على الملك إلّا كسر عينه شفقة أن يتّهمه أو يظنّ أنّ بينهما شيًا لو اطلع عليه لقتلهما,قال ولبث بلاد بعد ذلك مدّة طويلة لا يدخل على المَلك إلّا وهو خائف منه,إيلاذ بعد ذلك أربعين سنة كلّما دخل على المَلك كسر عينيه خوفًا أن لا يظنّ المَلك أنّه أراها بعينه شيئًا وخوفًا أن لا يتّهمه بأمر,فعاش إيلاد بعد ذلك أربعين سنة كُلّما دخَل على الملك كسر عينه لأن لا يفطن الملك أنّه أراها بعينه شيئا,قيل وعاش بلاذ بعد ذلك أربعين سنة كلّما دخل على الملك كسر عينه حتّى لا يظنّ الملك أنّه كان بينه وبين إبزاخت يومئذ شيئًا,وعاش بلاذ بعد ذلك أربعين سنة كلمّا دخل على الملك كسر عينه حتّى لا يظنّ الملك أنّه أرى ابراخت يومئذ شيئًا
61,faf7fa0c-9afd-4937-8a8e-28e47c2dd982,Intelligence Saves Queen Vizier,,,ولولا عقل إبرخت وفعلها ذلك لما نجا من إيلاد وإبرخت أحد,,,ولولا عقل إبراخت ولطافة معرفتها بأنّها لو اطّلع على أنّ بينهما شيئًا قتلها ولوّلا عقل إبراخت ولطافة معرفة إيلاد لم ينج أحد منهما من القتل,,ولولا عقل إبرخت وبلاذ لم ينج أحد منهما من الموت,,,فلولا عقل المرأة ومعرفة الوزير لم ينج واحد منهما من الموت,ولولَا عقل إبراحت وعقل إيلاد لم ينج واحد منهما من الموت,ولا قوّة عقل ابزاخت وبلاذ عند الملك كان أعدمهما,ولولا عقل ابراخت وعقل بلاذ لم ينج واحد منهما من القتل
62,8feaa4ca-8c60-4b3c-9701-e3dbbf5fd72f,Favorite Choses Dress,وأخذت حورقناه كسوة من أفخر الثياب وأحسنها,,,,,,,,وأخذت امرأته الأخرى الكسوة,,,,,
63,d642cee5-99b0-4ced-a8ab-cf6743dfe69a,King Alternates Nights With Women,وكان من عادة الملك ان يكون ليلة عند ايراخت وليلة عند حورقناه,وكان المَلك يبيت ليلة عند إبرخت وليلة عند أمّ جوبر,وكان المَلك عادته ينام ليلة عند إبرخت وليلة عند أمّ جرير,,,وكان الملك يكون له ليلة عند إبراخت تتولّى خدمته وليلة عند جوزقناه تتولّى منه مثل ذلك,,وكان الملك ليلة عند إبرخت وليلة عند جورفىاه,فكانت ليلة لبلاد تكون فيها عند الملك تلي خدمته وليلة لحريفتها تفعل مثل ذلك به,وكانت لإيلاد ليلة تكون فيها عند المَلك تلي خدمته وليلة لصاحبتها حرفناه,وكان المَلك يكون ليلة عند إيراخت وليلة عند مساميتها,وكان الملك يكون ليلة عند إبراحت وَليلة عند كورفيا,قال وكان الملك بعد ذلك يكون ليلة عند ابزاخت وليلة عند حورفتاه,وكان الملك يكون ليلة عند ابراخت وليلة عند حورفتاه
64,2235ad07-f38c-43f7-aa21-b9341c51690e,Indian Kings Mostly Eat Rice,,,,,,,,,,,,,وكان من سنّته أن تهيّء له المرأة التي تكون نوبتها أرزًّا محلّى فيأكله عندها,وكان من سنّة الملك أن تهيئ له الامرأة التي يكون عندها في ليلتها أرزًا بحلاوة فتطعمه إيّاه
65,85cdd568-521b-4265-824a-fbbb0a628169,Queen Serves Rice On Her Night,فأتى الملك ايراخت في نوبتها وقد صنعت له أرزًّا فدخلت عليه بالصحفة,فتاة فأتى إلى إبرخت في ليلتها فقدّمت له أرزًّا في صحيفة,فذات ليلة كان دوره عند إبرخت وقد وضعت له السفرة وفي يدها صحن الأرزّ بصحيفة من الذهب,ثمّ أنّ المَلك ذات ليلة كان عند هليث وكان يكون ليلة عندها وليلة عند حورفتاة فلمّا أتى هليث في ليلتها صنعت له أرزًّا وكذلك في سنّة ملوك الهند أن يكون أكثر طعامهم الأرزّ والإكليل على رأسها فقامت على رأس المَلك بالصحفة فجعل يطعم منها,ثمّ إنّ الملك ذات ليلة كان عند هلبت وكان يكون ليلة عند هلبت وليلة عند حوقناه فلمّا انتهى إلى هلبت في ليلتها اصطنعت له أرزًّا وكذلك سنّة الملوك بالمبتدأ أن يكون أكثر طعامهم الأرزّ فدخلت على الملك وفي يدها صحفة من ذهب فيها الأرز والإكليل على رأسها فقامت على رأس الملك بالصحفة فجعل يطعم منها,فلمّا أتى هليب في ليلتها صنعت له أرزًا وكذلك سنّة ملوك الهند أن يكون أكثر طعامهم الأرز فدخلت على الملك وفي يدها صحفة من ذهب فيها أرز والإكليل على رأسها فقامت على رأس الملك بالصحفة وهو يطعم منها,ثُمّ إنّ الملك ذات ليلة كان عند إيلاذ وكان يكون ليلة عند إيلاذ وليلة عند حورفتاه فلَمّا أتى إيلاذ في لَيْلَتِهَا صَنَعَتْ لَه أرُزًا وَكَذَلِك سُنّة المُلُوك في الهند أنْ يكون أكثر طَعَامِهم الأرز فَدَخَلَتْ عَلَى الملك وَعَلَى رَأَسِهَا الإكليل فَقَامَتْ عَلَى رَأْس الملك وَفِي يَدِهَا صَحْفَة مِن ذهب فيها الأرُزّ فجعل يُطعَم مِنِهَا,فلمّا كان ليلة ابرخت وقد صنعت له أرزًّا فدخلت على الملك وفي يدها صحفة من الذهب والإكليل على رأسها فقامت على رأس الملك بالصحفة وهو يطعم منه,فبينما إبلاد عنده ومعها إناء فيه أرزّ حارّ وهي قائمة على رأسه,فبينما إيلاد عند المَلك ومعها إناء فيه أرزّ وهي قائمة على رأسه,فأتى إيراخت في ليلتها وقد صنعت أرزّ فدخلت على المَلك وفي يدها صحفة من ذهب والإكليل على رأسها فقامت على رأس المَلك بالصحفة هو يطعم منها,فأتى الملك إبراحت في ليلتها وقد صَنعت له أرزًا فدخلت على الملك وفي يَدها صَحفة من ذهب والإكليل على رَأسها فقامت على رَأس الملك بالصّحفة وهو يَطعم منها,فأتى الملك نوبة ابزاخت إليها فقامت ابزاخت على رأس الملك وفي يدها صحفة من الياقوت فيها من ذلك الأرزّ المحلّى وهي تطعم الملك,فأتي الملك ابراخت في ليلتها وقد صنعت له أرزًا [[والإكليل على رأسها]] فدخلت على الملك وفي يدها صحفة من ذهب فيها أرز والإكليل على رأسها فقامت على رأسه بالصحفة وهو يطعم
66,2ca9c5bf-530c-4d42-8aff-76cb95aa88fb,Favorite Wears Dress Before King,فعلمت جورقناه بذلك فغارت من ايراخت فلبست تلك الكسوة ومرّت بين يدي الملك وتلك الثياب تضيء عليها مع نور وجهها كما تضيء الشمس فلمّا رآها الملك أعجبته,فدخلت أمّ جوبر وهو يطعم من ذلك الصحيفة الأرزّ وإبرخت بين يديه وعلى أمّ جوبر تلك الثياب وقد أضاءت وهي تشرق في ذلك الثياب كالشمس فغارت إبرخت منها فلمّا رأى المَلك حسن أمّ جوبر وبهجة ثيابها اشتاق إليها,فدخلت عليهما أمّ جرير وهي لابسة البدلة وعمّال تتّقد عليها كأنّها المصابيح فغارت إبرخت من ذلك الكسوة الحسنة لأنّ أمّ جرير كانت من الملاح القاطعات الفرط وبدنها كأنّه الدرّ بحقّ وعليها ذلك البدلة وقد أضاءت منها البيوت وأمّ جرير كالشمس فلمّا رأى المَلك لأمّ جرير تاقت نفسه إليها,فلمّا علمت حورفتاة أنّ المَلك عندها غارت على هليث فلبست تلك الكسوة ثمّ دخلت على المَلك المقصورة التي فيها المَلك مع هليث وكان بريق ذلك الثياب كشعاع الشمس فأضاءت الدار والبيت وصارت حورفتاة في تلك الثياب كأنّها الشمس الطالعة فلمّا رأى المَلك حورفتاة ثمّ اشتاق إليها فقال,فلّما علمت حوقناه أنّ الملك عند هلبت غارت من ذلك فلبست تلك الكسوة ثمّ دخلت المقصورة التي كان فيها الملك مع هلبت وكانت تبرق تلك الثياب كشعاع الشمس الطالعة فلمّا رأى الملك ذلك أحبّ حوقناه واشتاق إليها,فلّما علمت جوزقناه أنّ الملك عند هليب غارت على إبراخت فلبست تلك الكسوة ثمّ دخلت في المقصورة التي فيها الملك مع إبراخت وكان ضوء تلك الثياب كشعاع الشمس فأضاءت الدار وما فيها من تلك الثياب وصارت جوزقناه في تلك الثياب مثل الشمس الطالعة ثمّ قامت بين يدي الملك فلمّا رأى الملك ذلك اهتاج لها وتجدّد في قلبه حبّها واشتاق إليها,فلمّا عَلمتْ حورقناه أنّ الملك عند إيلاذ غَارَتْ منْ ذلك فَلَبِسَتْ تلك الكسْوَة ثُمّ دَخَلَت المَقْصُورَة التي فيها الملك مع إيلاذ وكان بَرِيْق تِلْك الثِّيَاب مِثْل شُعاع الشّمس فأضاء البيت وَصَارَتْ في تلك الثِّيَاب حورقناه كالشّمس الطَّالِعَة فَلَمَّا رَأَى ذَلِك الملك أَحَبّ حورقناه وَاشْتَاق إِلَيْهَا,فلمّا رأت جورفاه ذلك غارت من إبرخت فلبست الثياب الحسنة وأقبلت كالشمس ومرّت بين يدي الملك فاشتاق الملك إليها,إذ جازت حرفتاه وقد لبست الكسوة وقد مرّت بين يديه فأضاء كلّ شيء حوله وكانت كالشمس حسنًا فاشتاق الملك إليها,إذ جاءت حرفناه فلبست الكسوة فمرّت بين يدي المَلك فأضاء كلّ شيء حول المَلك لأنهّا كانت كالشمس حسنًا وجمالًا فجلست عنده,فلمّا رأت مساميتها الإكليل على رأس إيراخت غارت فلبست تلك الثياب ومرّت بين يديه وكانت كالشمس حسنًا فأضاء كلّ ما حولها فاشتاق إليها,فلمّا رأت كورفياه الإكليل على رأس إبراحت عادت فلبست تلك الثياب فاضاء لَها المجلس ومَا حَوله فصارت كالشمس ومرّت بين يدي الملك فاشتَاق إليهَا,فنظرت حورفتاه إلينا وهو يأكل من يدها فلحقها الغيرة من قرب ابزاخت بمنزلة الملك فذهبت حورفتاه ولبست تلك الحلّة الحمراء ومرّت بين يدي الملك ووقفت إلى جانب إيوانه فأشرق المنزل من نور تلك الحلّة وعظم بهجتها في أعين الملك,فلمّا رأت ذلك حورفتاه غارت على ابراخت فلبست تلك الكسوة ثمّ مرّت بين يدي الملك وكان ضوء ذلك الثياب وبياضها وشعاعها كشعاع الشمس وضوؤها فأضاء بها البيت وصارت حورفتاه كالشمس المنيرة والقمر
67,312b101c-596c-44c9-8a5a-4f35624d0b5c,King Insults Queen,ثمّ التفت الى ايراخت فقال لها إنّك جاهلة حين أخذت الإكليل وتركت الكسوة التي ليس في خزائننا مثلها,وقال لإبرخت أكنت جاهلة حين تركت الكسوة وأخذت الإكليل أو ليس في خزانتي لهذه الكسوة مثيل,ثم التفت إلى إبرخت وقال لها أنت كنت جاهلة حين أخذت الإكليل وتركت الكسوة إذ ليس في خزائننا مثل هذه الكسوة,لهليث إنّك لجاهلة حين لم تأخذين الكسوة وتدعين الإكليل التي لم أر مثلها قطّ,فقال لهلبت إنّك لجاهلة حين تأخذين الإكليل وتدعين الكسوة التي لم يُرى مثلها قطّ,وقال لإبراخت لقد كنت جاهلة حين أخذتي الإكليل وتركت الثياب التي ليس في خزائننا مثلها,فقال لإيلاذ إنَّك لَجَاهِلَة حِيْن تَأْخُذِيْن الإكليل وتَدَعِين الكسوة التي لم أر مثلَها قَطّ,وقال لقد كنت جاهلة حين تركت الثياب وأخذت الإكليل وتركت الكسوة التي ليس في خزانتي مثلها,فقال لإبلاد إنّك لجاهلة حين أخذتي الإكليل وتركتي الكسوة,فقال المَلك عند ذلك لإيلاد إنّك جاهلة حيث أخذت الإكليل وتركت الكسوة,وقال لإيراخت إنّك جاهلة حين أخذت الإكليل وتركت الثياب التي ليس في خزائننا مثلها,وقال لإبراحت لقد كُنت جاهِلة حين أخذت الإكليل وتركت الثياب التي ليس في خزائننا مثلها,فنظر إلى ابزاخت وقال لها *ألا ترين *حورفتاه كيف أشرق حسنها بلباسها إنّك إذ ذاك لجاهلة كيف تركت مثل هذا اللباس,فلمّا رآها الملك اشتاق إليها فقال لابراخت إنّك لجاهلة حين أخذت الإكليل وتركت الثياب التي ليس في خزائنها مثلها
68,070b0cad-01ee-4cfb-98a9-3e0efd002fb5,King Praises Favorite,,,,وإنّ حورفتاة لأحسن منك عقلًا وأشبه بنساء الملوك فلمّا,وإنّ حوقانه لأحسن منك عقلًا وأكمل رأيًا وأشبه بنساء الملوك,وإنّ جوزقناه لأحسن منك عقلًا وأكمل رأيًا وأشبه بنساء الملوك,وإنّ حورقتاه أحسَن منك عقلا وأكمَل منك رأيًا وأشبه بنساء الملوك,,,,وإنّ جوريناه لأحسن منك عقلًا وأكمل رأيًا وأشبه بنساء الملوك منك,,,
69,371e481a-1751-455e-9b02-e8d27dc2691a,Queen Pours Rice Over King,فلمّا سمعت ايراخت مدح الملك لجورقناه وثنائه عليها وتجهيلها هي وذمّ رأيها أخذها من ذلك الغيرة والغيظ فضربت بالصحفة رأس الملك فسال الأرزّ على وجهه,فلمّا لمحت إبرخت ذلك من المَلك وفهمت نحو كلامه داخلها الغضب وأخذت الصحيفة من بين *يدي المَلك وضربت بها على رأسه فسال الأرزّ على *وجه المَلك وثيابه وكان,فلمّا سمعت إبرخت كلام المَلك ولمحت أنّ نفسه تاقت إليها وأخرى أنّها غارت من أمّ جرير أخذها الغضب والصخب فأخذت صحيفة الأرزّ وضربت بها رأس المَلك فسال الأرزّ على جسده وأمتعته وجبهته,سمعت هليث قوله وتسفيهه رأيها ومدحه حورفتاة اغتاضت فضربت بالصحفة رأس المَلك فتناثر الأرزّ والسمن على رأسه ولحيته,فلمّا سمعت هلبت قوله وتسفيه رأيها ومدحه حوقناه اغتاظت فضربت بالصحفة رأس الملك فتناثر الأرزّ على رأسه ووجهه ولحيته,فلمّا سمعت إبراخت ذلك من قوله مع ما عاينت من حاله ومدحته جوزقناه وتسفيهه رأيها أُلبست الغيظ والغضب فضربت بالصحفة التي كانت بيدها رأس الملك فسال الأرزّ على رأسه ووجهه ولحيته وجسده,فَلَمّا سَمِعَتْ إيلاذ قَوْلَه وَتَسْفِيْهَه رأيْهَا وَمَدْحَه حورقتاه اغتاظت فَضَرَبَتْ رَأْس المَلِك بالصُحْفَة فَتَنَاثَر الأرزّ عَلَى رَأْسِه وَجِسْمِه وَلِحْيَتِه,فلمّا سمعت براخت ذلك من قوله ومدحه خورفتاه ظهر عليها الغيظ والغضب فضربت بالصحفة التّي كانت في يدها رأس الملك فسال الأرزّ على جسمه,فلمّا سمعت ذلك مع ما عاينت من حاله غضبت ورمت ما في يدها على الملك فسال الرزّ الحارّ على وجهه ولحيته ورأسه,فلمّا سمعت ذلك منه مع ما عاينت من الكسوة غضبت عليه ورمت ما في يدها فسال ذلك على وجه المَلك وجسده,فلمّا سمعت ذلك منه مع ما عاينت غضبت وضربت بالصفحة رأس المَلك فسال الأرزّ على رأسه ووجهه ولحيته,فغضبت وضربت بالصّحفة التي كانت في يدهَا رأس الملك فسال الأرزّ على رَأسه وَجسمه,فلمّا سمعت قول الملك غضبت وضربت بالصحفة رأس الملك فسال الأرزّ على تاجه ووجهه ولحيته,فلمّا سمعت ابراخت قول الملك ومدحه حورفتاه وتسفيهه رأيها لبست الغيظ والغضب ودخلها منه أمر عظيم فضربت بالصحفة التي كانت في يدها رأس الملك فسال الأرز على رأسه وجسمه ولحيته
70,2bdc3706-1aa5-4d13-b706-b9528b00e9bf,Fulfillment Of Last Dream,,هذا تفسير رؤياه الذي لم يفسّره الحكيم,وكان هذا تصديق رؤياه الثامنة التي كان الحكيم بيّن له طرفًا منها ولم يُفسّرها له وأوعده بتفسيرها,وكان ذلك تصديق الرؤيا التي لم يفسّرها له كينارون,وكان ذلك تصديق الرؤيا التي لم يفسّرها له كينارون العالم وكتمها منه لأجل حكم القضاء والقدر,وكان عبارة الحلم الثامن الذي كان كمابيرون برع بطرف منه للملك وامتنع من تبينه له,وَكَان ذَلِك تَصْدِيْق الرّؤيا التي لمْ يُفَسِّرهَا كيناىرون,فكان ذلك تصديق الحلم الذي كان كبايرون قد وعد الملك بطرف منه ولم يكن بيّنه له,وكان ذلك عبارة رؤياه في الحلم الثامن الذي لم يكن كبابرون بيّنه له,وكان ذلك تمام عبارة الرؤيا التي ذكرها له العالم عند تفسير رؤياه,وكان ذلك عبارة الحلم الثامن الذي كتمه إيّاه كنانابزون ولم يكن يبيّنه له,فكان ذلك تصديق الحلم الذي كنّا عنه كان ابرون,وكان ذلك تفسير الحلم الثامن الذي امتنع كبارايرون من تفسيره للملك في الوقت الأوّل,وكان ذلك تفسير الحلم الثامن الذي كان كناربزون نوّه للملك بطرف منه ولم يفسّره له
71,ae00c55d-002a-4e1f-8b62-45384a327963,King Expresses Anger To Vizier,فقام الملك من مكانه ودعا بايلاذ فقال له ألا ترى وأنا ملك العالم كيف حقّرتني هذه الجاهلة وفعلت بي ما ترى,فغضب المَلك ودعا بإيلاذ ثمّ قال له ألا ترى ما حلّ بي وأنا مَلك العالم وكيف تجرّأت عليّ هذه المرأة بمثل هذه الفعلة,فلمّا جرى من إبرخت ما جرى أدعى <المَلك> بإيلاد وقال له أما ترى ما حلّ بي وأنا مَلك العالَم كيف تجاسرت عليّ امرأة وفعلت بي ما تراه,فدعا المَلك بلاذًا وزيره فقال أما ترى يا بلاذ ما فعلت هذه المرأة وكيف استخفّت بي وحقّرتني,فدعا المَلك بلاد وزيره فقال يا بلاد انظر ما فعلت هذه المرأة وكيف استخفّت بي,فدعا الملك بإيلاد فقال يا إيلاد ألا ترى إلى ملك العالم كيف حقرته هذه المرأة وعملت به ما عملت هل رأيت ملكًا قطّ مثلي اجترأ عليه مثل هذه الحمقاء حين ركبت منه مثل ما ترى احتقارًا لي وتصغيرًا لقدري وتهوينًا لأمري,فَدَعَا الملك بَلارًا وَزيرَه وَقال أَمَا تَرَى يا بَلار مَا فَعَلَتْ هَذِه المَرْأَة وَكَيْف اسْتَخَفَّتْ بِي وَحَقَرتْنِي,فدعا الملك بلاذ وقال له يا بلاذ أما متى إلى ملك العالم كيف [[كان]] حقّرته هذه المرأة وعملت به ما عملت,فدعا الملك بلاد فقال له هل رأيت ملكًا قطّ اُجترئ عليه بمثل ما اُجترئ عليّ واُرتكبت منه بمثل ما اُرتكب منّي هذه الحمقاء في احتقارها لي وتصغيرها لأمري,قال فاغتاظ المَلك من فعلها ذلك غيظًا شديدًا ودعا بلاد وقال له هل رأيت مَلكًا قطّ تجترئ عليه مثل هذه الحمقاء حتّى فعلت ما ترى احتقارًا لي وتقصيرًا بأمري,فدعا المَلك بإيلاذ فدخل عليه فقال يا إيلاذ ما ترى إلى ما فعلته هذه المرأة لي وكيف استخفّت بي وحقّرتني وعملت ما عملت فما أعلم أنّ مَلكًا قطّ اجتُرئ عليه بمثل ما ركبت هذه الحمقاء منّي,فدعى الملك إيلاد من ساعته فدخل عليه فقال يا إيلاد ألا ترى إلى الملك العَالم كيف حقّرته هَذه المرأَة وعملت به ماعملت,فلمّا رأى الملك ما حلّ به أدعى بلاذ وقال يا بلاذ <انظر> كيف خرقت هذه المرأة الحرمة وحقّرت الملك العالم الفاضل وما بلغته من الجرأة,فدعا الملك لبلاذ وقال يا بلاذ ألا ترى إلى الملك العالم الفاضل كيف حقّرته هذه الامرأة وصنعت به ما صنعت
72,3f74d42d-af77-44ad-a044-7bf538dd8ba2,King Orders To Execute Queen,فانطلق بها فاقتلها ولا ترحمها,فانطلق بها واقتلها ولا ترحمها,فانطلق بها واقتلها بالعجل من غير مهل ولا ترحمها فهذا جزاؤها,فانطلق بها فاضرب عنقها ولا تراجعني في أمرها ولا تدخلنّ عليّ إلّا بعد قتلك إيّاها,فانطلق بها فاضرب عنقها ولا تراجعني في أمرها ولا تدخلنّ عليّ إلّا بعد قتلك إيّاها,فانطلق بها فاضرب عنقها ولا ترحمها فإنّها ليست لذلك أهلًا ولا تراجعني في شيء من أمرها ولا تدخلنّ عليّ إلّا بعد قتلك إيّاها,فَانْطَلِقْ بِهَا فَاضْرِبْ عُنُقَهَا ولا تَدخُلْ عَلَيّ إلّا بَعْد قَتْلِك إِيَّاهَا,فانطلق بها فاضرب عنقها ولا ترحمها,انطلق بها فاضرب عنقها ولا تشاورني في ذلك ولا ترحمها فإنّه ليست لذلك بأهل,انطلق بها من ساعتها هذه فاضرب عنقها ولا ترحمها فإنّها ليست لذلك بأهل,انطلق بها فاضرب عنقها لا ترحمها,فانطلق بهَا فاضرب عُنقها وَلا ترحمها,امض بها واضرب عنقها وألقها في اليمّ ودعها كيوم مضى وزجر الملك إبزاخت فاندفعت عنه,فإنّها امرأة عاقلة سعيدة من الملكات
73,48470e0b-0886-4652-b32a-2c6681d3d59b,Vizier Decides To Spare Queen,فخرج إيلاذ من عند الملك وقال لا أقتلها حتّى يسكن عنه الغضب,فأخذ إيلاذ إبراخت وخرج بها من عند المَلك وقال في نفسه ما انا بقاتلها حتّى يسكن غضب المَلك,فأخذ إيلاد لإبرخت وخرج بها من عند المَلك وقال في نفسه ما أنا بقاتلها فلا بدّ ما يسكن غضب المَلك فما له صبر عنها من شدّة عقلها وكمالها,فخرج بلاذ بهليث من عند المَلك فقال في نفسه ما ينبغي أن أقتلها حتّى يسكن غضب المَلك,فخرج بلاد بهلبت من عند المَلك فقال في نفسه ما ينبغي أن أقتلها حتّى يسكن غيظ المَلك,فخرج إيلاد بإبراخت من عند الملك وقال في نفسه ما أنا بقاتلها ولا أممض رأيه فيها حتّى يسكن غضب الملك,فَخَرَج بَلار بِإيلاذ مِنْ عِنْد المَلك وَقَال مَا يَنْبَغِيْ أَنْ أَقْتُلَهَا حَتَّى يَسْكُن غَضَب المَلك,فخرج بلاذ بإبرخت من عند الملك وقال [[ما]] [[أنا]] [[بنفسه]] ما أنا بقاتلها حتّى يسكن غضب الملك,فقبض على ابلاد وخرج بها من عند الملك وقال لست بقاتلها ولا ممضي رأيه فيها حتّى يهدأ غضبه,فأخذها بلاد وخرج بها من عند الملَك وقال في نفسه إنّي لست بقاتلها ولا أمضي رأيه فيها,فخرج إيلاذ وإيراخت من عند المَلك وقال في نفسه ما أنا بقاتلها حتّى يسكن غضب المَلك,فخرج إيلاد بإبراحت من عند الملك وقال في نفسه مَا أنا بقاتلها حتَّى يسكن غضب الملك,فأخذها بلاذ وخرج بها من دار الملك وقال في نفسه ما أنا بقاتلها حتّى يسكن غضب الملك وأنظر ماذا يؤول رأيه فيها,فخرج بلاذ بابراخت من عند الملك وقال في نفسه ما أنا بقاتلها حتّى يسكن غضب الملك
